95253	51.345562	-0.711898	0.066878	0.000000
95303	51.345684	-0.711913	0.149189	0.000000
95313	51.345646	-0.711883	0.149189	0.000000
95323	51.345661	-0.711865	0.601899	19.450001
95333	51.345684	-0.711835	0.046300	19.450001
95343	51.345711	-0.711830	0.015433	19.450001
95353	51.345684	-0.711827	0.015433	19.450001
95403	51.345642	-0.711807	0.864266	19.450001
95413	51.345638	-0.711752	0.601899	19.450001
95423	51.345600	-0.711768	0.154333	194.789993
95433	51.345581	-0.711750	0.216066	132.350006
95443	51.345627	-0.711777	0.396122	132.350006
95453	51.345661	-0.711845	0.354966	132.350006
95503	51.345612	-0.711825	0.411555	131.300003
95513	51.345585	-0.711745	0.596755	143.419998
95523	51.345604	-0.711747	0.036011	143.419998
95533	51.345554	-0.711757	0.046300	143.419998
95543	51.345562	-0.711772	0.241789	129.960007
95553	51.345600	-0.711772	0.282944	67.150002
95603	51.345612	-0.711692	0.920855	68.769997
95613	51.345615	-0.711700	0.272655	115.820000
95623	51.345585	-0.711713	0.015433	115.820000
95633	51.345558	-0.711747	0.082311	115.820000
95643	51.345543	-0.711723	0.529877	122.410004
95653	51.345608	-0.711822	0.097744	122.410004
95703	51.345593	-0.711840	0.020578	122.410004
95713	51.345593	-0.711878	0.010289	122.410004
95723	51.345520	-0.711907	0.041156	122.410004
95733	51.345516	-0.711918	0.051444	122.410004
95743	51.345551	-0.711898	0.349822	88.320000
95753	51.345558	-0.711917	0.411555	47.700001
95803	51.345554	-0.711930	0.318955	332.130005
95813	51.345600	-0.711945	0.354966	321.579987
95823	51.345612	-0.711963	0.236644	321.579987
95833	51.345585	-0.711905	0.010289	321.579987
95843	51.345593	-0.711930	0.447566	279.489990
95853	51.345604	-0.711945	0.349822	303.670013
95903	51.345566	-0.711953	0.349822	104.040001
95913	51.345524	-0.711922	0.535022	104.040001
95923	51.345562	-0.711912	0.205778	313.910004
95933	51.345581	-0.711907	0.334389	180.119995
95943	51.345589	-0.711885	0.442422	103.940002
95953	51.345589	-0.711888	0.066878	193.949997
100003	51.345581	-0.711875	0.406411	98.320000
100013	51.345558	-0.711897	0.216066	98.320000
100023	51.345596	-0.711898	0.025722	98.320000
100033	51.345581	-0.711890	0.308666	98.320000
100043	51.345612	-0.711902	0.046300	98.320000
100053	51.345608	-0.711930	0.174911	98.320000
100103	51.345600	-0.711937	0.046300	98.320000
100113	51.345528	-0.711930	0.833399	128.800003
100123	51.345531	-0.711943	0.349822	233.009995
100133	51.345543	-0.711938	0.205778	334.100006
100143	51.345543	-0.711890	0.195489	108.419998
100153	51.345547	-0.711878	0.303522	148.699997
100203	51.345554	-0.711935	0.154333	148.699997
